Open,Close,High,Low,Volume
432.27,433.45,433.5,431.32,1155.3070586
433.44,436.09,436.09,432.93,1471.25809682
436.09,438.69,439.0,436.09,2684.30795113
438.62,441.02,441.12,438.61,3005.08418966
441.05,441.01,443.0,439.51,2574.38836469
441.06,441.0,442.0,440.31,1193.95832746
441.0,444.71,445.0,440.73,2730.87126132
444.67,445.03,445.8,444.4,1093.24753367
445.19,443.4,445.25,443.04,2010.77133422
443.39,442.78,443.5,441.5,1040.50214709
442.5,444.5,445.0,442.5,790.4473692
444.57,444.0,445.0,444.0,2546.21582053
444.0,442.58,444.15,441.01,917.9706872000002
441.8,446.0,446.0,441.8,1615.11348535
446.0,448.7,448.98,445.99,2257.80185847
448.8,450.04,452.0,447.84,3782.17398535
450.0,449.7,451.0,446.67,2480.27548009
449.49,448.85,450.1,446.63,3005.45106492
448.8,447.87,448.83,446.0,1521.51122078
447.99,450.88,450.89,447.99,1298.05393039
450.88,451.81,453.0,450.35,2702.58435357
451.81,452.79,453.2,449.57,2241.38220945
452.07,457.0,457.0,452.07,3219.96584554
456.99,455.13,458.0,452.81,1722.55747537
455.14,454.0,457.2,454.0,1165.96494333
454.0,455.41,456.97,454.0,2039.86907981
455.38,453.15,455.38,449.96,3085.0642598
453.19,451.27,453.33,450.0,1450.02552012
451.33,453.15,453.73,450.0,2165.85959029
453.52,455.55,456.5,453.52,2275.64512462
455.56,452.81,455.56,452.37,771.34054312
452.84,452.0,453.05,451.74,565.03618234
452.0,448.69,452.0,448.05,2077.86920394
448.7,451.93,452.23,448.02,836.06774577
451.93,448.37,451.98,448.37,673.84853532
448.37,446.75,448.62,446.75,1372.36681917
446.75,451.47,451.49,445.78,1023.48334567
451.5,448.8,451.5,448.2,806.7608071000001
449.05,448.32,449.98,448.21,312.82387327
448.3,444.45,448.31,444.2,1007.86764963
444.74,445.52,448.64,444.66,828.59347019
446.34,447.48,449.0,445.0,1209.19082829
447.06,446.4,447.4,445.86,299.05474371
446.38,448.89,448.96,446.31,1804.98128981
448.95,448.68,450.66,448.5,749.59058658
448.67,447.9,449.56,447.7,1250.99585477
447.9,447.0,448.0,446.26,1339.00827519
447.0,448.98,449.14,446.83,1390.09001559
448.98,448.88,449.86,448.7,603.86732778
448.88,447.93,448.89,446.58,1017.93305077
447.75,448.17,448.66,447.24,673.82449054
